Date,DAP Prices
31/01/67,68.5
28/02/67,68.5
31/03/67,68.5
30/04/67,68.5
31/05/67,68.5
30/06/67,68.5
31/07/67,68.5
31/08/67,68.5
30/09/67,68.5
31/10/67,68.5
30/11/67,68.5
31/12/67,68.5
31/01/68,60.5
29/02/68,60.5
31/03/68,60.5
30/04/68,60.5
31/05/68,60.5
30/06/68,60.5
31/07/68,60.5
31/08/68,60.5
30/09/68,60.5
31/10/68,60.5
30/11/68,60.5
31/12/68,60.5
31/01/69,58
28/02/69,58
31/03/69,58
30/04/69,58
31/05/69,58
30/06/69,58
31/07/69,58
31/08/69,58
30/09/69,58
31/10/69,58
30/11/69,58
31/12/69,58
31/01/70,54
28/02/70,54
31/03/70,54
30/04/70,54
31/05/70,54
30/06/70,54
31/07/70,54
31/08/70,54
30/09/70,54
31/10/70,54
30/11/70,54
31/12/70,54
31/01/71,57.5
28/02/71,57.5
31/03/71,57.5
30/04/71,57.5
31/05/71,57.5
30/06/71,57.5
31/07/71,66
31/08/71,66
30/09/71,66
31/10/71,66
30/11/71,66
31/12/71,66
31/01/72,83
29/02/72,83
31/03/72,83
30/04/72,83
31/05/72,83
30/06/72,83
31/07/72,99
31/08/72,99
30/09/72,99
31/10/72,99
30/11/72,99
31/12/72,99
31/01/73,105
28/02/73,105
31/03/73,105
30/04/73,105
31/05/73,105
30/06/73,105
31/07/73,132.5
31/08/73,132.5
30/09/73,132.5
31/10/73,132.5
30/11/73,132.5
31/12/73,132.5
31/01/74,215
28/02/74,232.5
31/03/74,262.5
30/04/74,293.8
31/05/74,301.3
30/06/74,339.5
31/07/74,358.1
31/08/74,365
30/09/74,405
31/10/74,405
30/11/74,405
31/12/74,408.75
31/01/75,396
28/02/75,383
31/03/75,363
30/04/75,307
31/05/75,242
30/06/75,194
31/07/75,181
31/08/75,185
30/09/75,192
31/10/75,162
30/11/75,150
31/12/75,155
31/01/76,130
29/02/76,125
31/03/76,126
30/04/76,113
31/05/76,104
30/06/76,100
31/07/76,120
31/08/76,125
30/09/76,140
31/10/76,128
30/11/76,115
31/12/76,113
31/01/77,130
28/02/77,133
31/03/77,137
30/04/77,134
31/05/77,129
30/06/77,133
31/07/77,133
31/08/77,143
30/09/77,148
31/10/77,138
30/11/77,123
31/12/77,128
31/01/78,138
28/02/78,138
31/03/78,137
30/04/78,131
31/05/78,128
30/06/78,130
31/07/78,137
31/08/78,143
30/09/78,151.5
31/10/78,151.5
30/11/78,151.5
31/12/78,141.5
31/01/79,153
28/02/79,157.5
31/03/79,162.5
30/04/79,164
31/05/79,162
30/06/79,175.5
31/07/79,187.5
31/08/79,207.5
30/09/79,215
31/10/79,247.5
30/11/79,242
31/12/79,246
31/01/80,257
29/02/80,257.5
31/03/80,260.5
30/04/80,202.5
31/05/80,211
30/06/80,212.5
31/07/80,215
31/08/80,215
30/09/80,205
31/10/80,202.5
30/11/80,214
31/12/80,214
31/01/81,227.5
28/02/81,226
31/03/81,207.5
30/04/81,193
31/05/81,195.5
30/06/81,190
31/07/81,177.5
31/08/81,179.5
30/09/81,179.5
31/10/81,178
30/11/81,186
31/12/81,200
31/01/82,207.5
28/02/82,202.5
31/03/82,200
30/04/82,181.5
