Month,DAP
01/07/88,201.5
01/08/88,200
01/09/88,196.5
01/10/88,206.5
01/11/88,203.5
01/12/88,198
01/01/89,196.5
01/02/89,196.5
01/03/89,183.5
01/04/89,178.5
01/05/89,177
01/06/89,160.5
01/07/89,171.5
01/08/89,187.5
01/09/89,176.5
01/10/89,151.5
01/11/89,144.5
01/12/89,149.5
01/01/90,142.5
01/02/90,150.5
01/03/90,166.5
01/04/90,167.5
01/05/90,170.5
01/06/90,174.5
01/07/90,177.5
01/08/90,173.9
01/09/90,181.75
01/10/90,187.63
01/11/90,185.1
01/12/90,178.88
01/01/91,179.9
01/02/91,184.5
01/03/91,181.25
01/04/91,177.88
01/05/91,175.8
01/06/91,180
01/07/91,182.75
01/08/91,171.5
01/09/91,169.5
01/10/91,163
01/11/91,152
01/12/91,156.67
01/01/92,163.2
01/02/92,161.63
01/03/92,152.88
01/04/92,151.5
01/05/92,150.5
01/06/92,144.13
01/07/92,137.5
01/08/92,138.5
01/09/92,135.75
01/10/92,136.3
01/11/92,135
01/12/92,135
01/01/93,131.38
01/02/93,124.75
01/03/93,113.25
01/04/93,113.5
01/05/93,122.83
01/06/93,122
01/07/93,120.7
01/08/93,123.63
01/09/93,130.1
01/10/93,141.13
01/11/93,147.5
01/12/93,158.5
01/01/94,158.38
01/02/94,159.75
01/03/94,169.5
01/04/94,173.75
01/05/94,167.83
01/06/94,172.5
01/07/94,173.5
01/08/94,174.38
01/09/94,179.1
01/10/94,178.5
01/11/94,179.75
01/12/94,186.5
01/01/95,211
01/02/95,218.25
01/03/95,215.6
01/04/95,205.88
01/05/95,192.67
01/06/95,191.9
01/07/95,202.5
01/08/95,207.2
01/09/95,222.25
01/10/95,237.25
01/11/95,248.8
01/12/95,245.5
01/01/96,240
01/02/96,236.8
01/03/96,218.38
01/04/96,202.88
01/05/96,200
01/06/96,210.63
01/07/96,211.75
01/08/96,210.2
01/09/96,198.75
01/10/96,206.1
01/11/96,211.25
01/12/96,211.17
01/01/97,206.2
01/02/97,200.75
01/03/97,194.75
01/04/97,196
01/05/97,204
01/06/97,199.5
01/07/97,199.2
01/08/97,200.38
01/09/97,197.88
01/10/97,199.4
01/11/97,200.5
01/12/97,200.5
01/01/98,196
01/02/98,192.63
01/03/98,195.13
01/04/98,201.8
01/05/98,204.83
01/06/98,209.13
01/07/98,208.88
01/08/98,210
