Month,PCL
01/07/88,91
01/08/88,91
01/09/88,91
01/10/88,94.5
01/11/88,94
01/12/88,94
01/01/89,98
01/02/89,99.5
01/03/89,99.5
01/04/89,99.5
01/05/89,99.5
01/06/89,99.5
01/07/89,99.5
01/08/89,99.5
01/09/89,99.5
01/10/89,97.5
01/11/89,97.5
01/12/89,97.5
01/01/90,97.5
01/02/90,97.5
01/03/90,97.5
01/04/90,97.5
01/05/90,96
01/06/90,96
01/07/90,96
01/08/90,96
01/09/90,96
01/10/90,102.5
01/11/90,102.5
01/12/90,102.5
01/01/91,102.5
01/02/91,102.5
01/03/91,104.5
01/04/91,108.75
01/05/91,111
01/06/91,111
01/07/91,111
01/08/91,111
01/09/91,111
01/10/91,111
01/11/91,111
01/12/91,111
01/01/92,111
01/02/92,111
01/03/92,112.13
01/04/92,112.5
01/05/92,112.5
01/06/92,112.5
01/07/92,112.5
01/08/92,112.5
01/09/92,112.5
01/10/92,112.5
01/11/92,112.5
01/12/92,110.75
01/01/93,109
01/02/93,109
01/03/93,109
01/04/93,108.25
01/05/93,107.5
01/06/93,107.5
01/07/93,107.5
01/08/93,107.5
01/09/93,107.5
01/10/93,105.83
01/11/93,105
01/12/93,105.46
01/01/94,106.5
01/02/94,105.5
01/03/94,103.5
01/04/94,103.5
01/05/94,103.5
01/06/94,103.5
01/07/94,103.5
01/08/94,103.5
01/09/94,105.33
01/10/94,109
01/11/94,109.83
01/12/94,111.5
01/01/95,111.5
01/02/95,115.5
01/03/95,117.5
01/04/95,117.5
01/05/95,118.5
01/06/95,119
01/07/95,119
01/08/95,119
01/09/95,119
01/10/95,119
01/11/95,119.75
01/12/95,117.83
01/01/96,116.5
01/02/96,116.67
01/03/96,117
01/04/96,117
01/05/96,117
01/06/96,117
01/07/96,117
01/08/96,117
01/09/96,117
01/10/96,117
01/11/96,117
01/12/96,117
01/01/97,116.84
01/02/97,116.5
01/03/97,116.5
01/04/97,116.5
01/05/97,116.5
01/06/97,116.5
01/07/97,116.5
01/08/97,116.5
01/09/97,116.5
01/10/97,116.5
01/11/97,116.5
01/12/97,116.5
01/01/98,116.5
01/02/98,116.5
01/03/98,116.5
01/04/98,116.5
01/05/98,116.5
01/06/98,116.5
01/07/98,116.5
01/08/98,116.5
01/09/98,116.5
01/10/98,117.14
01/11/98,118.5
01/12/98,118.5
01/01/99,118.5
01/02/99,118.5
01/03/99,120.24
01/04/99,122.5
01/05/99,122.5
01/06/99,122.5
01/07/99,122.5
01/08/99,122.5
01/09/99,122.5
01/10/99,122.5
01/11/99,122.5
01/12/99,122.5
01/01/00,122.5
01/02/00,122.5
01/03/00,122.5
01/04/00,122.5
01/05/00,122.5
01/06/00,122.5
01/07/00,122.5
01/08/00,122.5
01/09/00,122.5
01/10/00,122.5
01/11/00,122.5
01/12/00,122.5
01/01/01,122.5
01/02/01,122.5
01/03/01,119.5
01/04/01,117.5
01/05/01,117.5
01/06/01,117.5
01/07/01,117.5
01/08/01,117.5
01/09/01,117.5
01/10/01,117.5
01/11/01,115
01/12/01,115
01/01/02,115
01/02/02,115
01/03/02,116
01/04/02,113.75
01/05/02,112.5
01/06/02,112.5
01/07/02,112.5
01/08/02,112.5
01/09/02,112.5
01/10/02,112.5
01/11/02,112.5
01/12/02,112.5
01/01/03,112.5
01/02/03,112.5
01/03/03,112.5
01/04/03,112.5
01/05/03,112.5
01/06/03,112.5
01/07/03,112.5
01/08/03,112.5
01/09/03,112.5
01/10/03,112.5
01/11/03,114.38
01/12/03,120
01/01/04,120
01/02/04,120
01/03/04,120
01/04/04,120
01/05/04,120
01/06/04,120
01/07/04,120
01/08/04,120
01/09/04,120
01/10/04,122.5
01/11/04,144.69
01/12/04,147.5
01/01/05,147.5
01/02/05,147.5
01/03/05,147.5
01/04/05,147.5
01/05/05,150
01/06/05,157.5
01/07/05,158.13
01/08/05,162.5
01/09/05,170
01/10/05,170
01/11/05,170
01/12/05,170
01/01/06,170
01/02/06,170
01/03/06,173.33
01/04/06,180
01/05/06,180
01/06/06,172
01/07/06,173.75
01/08/06,175
01/09/06,175
01/10/06,175
01/11/06,175
01/12/06,175
01/01/07,175
01/02/07,175
01/03/07,176.88
01/04/07,177.5
01/05/07,180
01/06/07,196.88
01/07/07,203.13
01/08/07,212.5
01/09/07,212.5
01/10/07,220
01/11/07,232.5
01/12/07,240
01/01/08,273
01/02/08,385
01/03/08,445
01/04/08,477.63
01/05/08,518.3
01/06/08,537.5
01/07/08,560
01/08/08,640
01/09/08,705
01/10/08,762.5
01/11/08,765
