Month,ROCK-PHOSPHATE
01/07/88,36
01/08/88,36
01/09/88,36
01/10/88,36
01/11/88,36
01/12/88,36
01/01/89,41.5
01/02/89,41.5
01/03/89,41.5
01/04/89,41.5
01/05/89,40.5
01/06/89,40.5
01/07/89,40.5
01/08/89,40.5
01/09/89,40.5
01/10/89,40.5
01/11/89,40.5
01/12/89,40.5
01/01/90,40.5
01/02/90,40.5
01/03/90,40.5
01/04/90,40.5
01/05/90,40.5
01/06/90,40.5
01/07/90,40.5
01/08/90,40.5
01/09/90,40.5
01/10/90,40.5
01/11/90,40.5
01/12/90,40.5
01/01/91,42.5
01/02/91,42.5
01/03/91,42.5
01/04/91,42.5
01/05/91,42.5
01/06/91,42.5
01/07/91,42.5
01/08/91,42.5
01/09/91,42.5
01/10/91,42.5
01/11/91,42.5
01/12/91,42.5
01/01/92,42.5
01/02/92,42.5
01/03/92,42.5
01/04/92,42.5
01/05/92,42.5
01/06/92,42.5
01/07/92,41
01/08/92,41
01/09/92,41
01/10/92,41
01/11/92,41
01/12/92,41
01/01/93,33
01/02/93,33
01/03/93,33
01/04/93,33
01/05/93,33
01/06/93,33
01/07/93,33
01/08/93,33
01/09/93,33
01/10/93,33
01/11/93,33
01/12/93,33
01/01/94,33
01/02/94,33
01/03/94,33
01/04/94,33
01/05/94,33
01/06/94,33
01/07/94,33
01/08/94,33
01/09/94,33
01/10/94,33
01/11/94,33
01/12/94,33
01/01/95,35
01/02/95,35
01/03/95,35
01/04/95,35
01/05/95,35
01/06/95,35
01/07/95,35
01/08/95,35
01/09/95,35
01/10/95,35
01/11/95,35
01/12/95,35
01/01/96,39
01/02/96,39
01/03/96,39
01/04/96,39
01/05/96,39
01/06/96,39
01/07/96,39
01/08/96,39
01/09/96,39
01/10/96,39
01/11/96,39
01/12/96,39
01/01/97,41
01/02/97,41
01/03/97,41
01/04/97,41
01/05/97,41
01/06/97,41
01/07/97,41
01/08/97,41
01/09/97,41
01/10/97,41
01/11/97,41
01/12/97,41
01/01/98,43
01/02/98,43
01/03/98,43
01/04/98,43
01/05/98,43
01/06/98,43
01/07/98,43
01/08/98,43
01/09/98,43
01/10/98,43
01/11/98,43
01/12/98,43
01/01/99,44
01/02/99,44
01/03/99,44
01/04/99,44
01/05/99,44
01/06/99,44
01/07/99,44
