Month,TRIPLE-SUPERPHOSPHATE
01/07/88,157.5
01/08/88,161.5
01/09/88,162
01/10/88,164
01/11/88,164
01/12/88,164
01/01/89,164
01/02/89,164
01/03/89,158
01/04/89,156.5
01/05/89,149
01/06/89,140.5
01/07/89,140.5
01/08/89,136.5
01/09/89,136.5
01/10/89,130.5
01/11/89,126
01/12/89,126
01/01/90,109.5
01/02/90,112
01/03/90,112
01/04/90,127.5
01/05/90,127.5
01/06/90,130
01/07/90,131
01/08/90,135.6
01/09/90,144.25
01/10/90,149.5
01/11/90,152.5
01/12/90,150.5
01/01/91,152.5
01/02/91,152.5
01/03/91,147.5
01/04/91,143.25
01/05/91,130.6
01/06/91,129.5
01/07/91,131
01/08/91,127
01/09/91,122.5
01/10/91,121.1
01/11/91,120
01/12/91,120
01/01/92,120
01/02/92,120
01/03/92,120
01/04/92,120.2
01/05/92,120.5
01/06/92,120.5
01/07/92,120.5
01/08/92,120.75
01/09/92,121.5
01/10/92,121.5
01/11/92,121.5
01/12/92,121.88
01/01/93,121.88
01/02/93,121.5
01/03/93,111
01/04/93,109.6
01/05/93,107.5
01/06/93,105.5
01/07/93,105.1
01/08/93,107.5
01/09/93,107.5
01/10/93,111.25
01/11/93,112.5
01/12/93,122.5
01/01/94,125
01/02/94,125.63
01/03/94,127.5
01/04/94,130
01/05/94,132.5
01/06/94,132.5
01/07/94,132.5
01/08/94,132.5
01/09/94,132.5
01/10/94,136.63
01/11/94,139
01/12/94,139
01/01/95,142.38
01/02/95,147.5
01/03/95,147.5
01/04/95,147.5
01/05/95,147.5
01/06/95,147.5
01/07/95,147.5
01/08/95,147.5
01/09/95,147.5
01/10/95,150
01/11/95,160.7
01/12/95,162.5
01/01/96,162.5
01/02/96,169.1
01/03/96,173.5
01/04/96,173.5
01/05/96,173.5
01/06/96,174.63
01/07/96,175.63
01/08/96,178.6
01/09/96,181.5
01/10/96,182.5
01/11/96,182.5
01/12/96,182.5
01/01/97,181.9
01/02/97,181
01/03/97,181
01/04/97,177.63
01/05/97,170
01/06/97,170
01/07/97,168.2
01/08/97,163.5
01/09/97,163.5
01/10/97,164.3
01/11/97,169.38
01/12/97,172.5
01/01/98,172.5
01/02/98,172.5
01/03/98,172.5
01/04/98,173.7
01/05/98,176.34
01/06/98,177.5
01/07/98,177.5
01/08/98,175
01/09/98,172.5
01/10/98,171.55
01/11/98,167.5
01/12/98,167.5
01/01/99,166.38
01/02/99,163
01/03/99,163
01/04/99,163
01/05/99,163
01/06/99,161.75
01/07/99,153.88
01/08/99,151.25
01/09/99,147.5
01/10/99,145.13
01/11/99,138
01/12/99,138
01/01/00,138
01/02/00,138
01/03/00,138
01/04/00,138
01/05/00,138
01/06/00,138
01/07/00,140.25
01/08/00,142.5
01/09/00,142.5
01/10/00,141.25
01/11/00,129
01/12/00,129
01/01/01,129
01/02/01,129
01/03/01,129
01/04/01,129
01/05/01,125.5
01/06/01,122.5
01/07/01,123.75
01/08/01,125
01/09/01,124.38
01/10/01,124.38
01/11/01,130
01/12/01,131
01/01/02,131
01/02/02,138
01/03/02,138
01/04/02,132
01/05/02,136.1
01/06/02,128.88
01/07/02,127.38
01/08/02,133.3
01/09/02,135.5
01/10/02,133.1
01/11/02,132
01/12/02,131.5
01/01/03,128.6
01/02/03,136
01/03/03,143.75
01/04/03,145
01/05/03,146
01/06/03,148.25
01/07/03,150.9
01/08/03,150
01/09/03,153.63
01/10/03,164
01/11/03,163
01/12/03,162.88
01/01/04,171.63
01/02/04,177.13
01/03/04,177.5
01/04/04,177.5
01/05/04,177.5
01/06/04,177.5
01/07/04,191.5
01/08/04,195
01/09/04,195
01/10/04,195
01/11/04,198.5
01/12/04,202
01/01/05,202
01/02/05,202
01/03/05,202
01/04/05,202
01/05/05,201.63
01/06/05,201.5
01/07/05,201.25
01/08/05,201.38
01/09/05,201
01/10/05,201
01/11/05,201
01/12/05,201
01/01/06,201
01/02/06,201
01/03/06,200.6
01/04/06,200.5
01/05/06,200.5
01/06/06,200.5
01/07/06,202
01/08/06,202
01/09/06,202
01/10/06,202
01/11/06,202
01/12/06,205.5
01/01/07,207.5
01/02/07,215
01/03/07,254.5
01/04/07,300
01/05/07,338.13
01/06/07,355
01/07/07,355
01/08/07,377.5
01/09/07,392.5
01/10/07,402.9
01/11/07,423.75
01/12/07,446.88
01/01/08,539.2
01/02/08,729.38
01/03/08,875.63
01/04/08,1029
01/05/08,1037
01/06/08,1043.13
01/07/08,1112.5
01/08/08,1131.5
01/09/08,1079.25
01/10/08,965
01/11/08,606
01/12/08,405
01/01/09,350
01/02/09,320
01/03/09,295
01/04/09,278
01/05/09,245
01/06/09,220
01/07/09,224
01/08/09,225
01/09/09,225
01/10/09,246.5
01/11/09,228.5
01/12/09,232
01/01/10,296.25
01/02/10,300
01/03/10,354.38
01/04/10,372.5
01/05/10,352.75
01/06/10,346.8
01/07/10,360
01/08/10,380.75
01/09/10,428
01/10/10,455
01/11/10,463.75
01/12/10,472.5
01/01/11,475
01/02/11,490
01/03/11,494
01/04/11,535.63
01/05/11,547.5
01/06/11,549.5
01/07/11,555
01/08/11,560
01/09/11,560
01/10/11,592.5
01/11/11,570
01/12/11,530
01/01/12,435
01/02/12,445
01/03/12,441.25
01/04/12,441.25
01/05/12,485
01/06/12,485
01/07/12,485
01/08/12,485
01/09/12,485
01/10/12,474
01/11/12,447.5
01/12/12,435
01/01/13,428
01/02/13,419
01/03/13,415
01/04/13,409
01/05/13,410
01/06/13,410
01/07/13,410
01/08/13,360
01/09/13,344
01/10/13,324
01/11/13,320
01/12/13,320
01/01/14,333
01/02/14,367
01/03/14,384
01/04/14,383
01/05/14,385
01/06/14,389
01/07/14,390
01/08/14,391
01/09/14,398
01/10/14,398
01/11/14,385
01/12/14,381
01/01/15,382
01/02/15,383
01/03/15,383
01/04/15,380
01/05/15,380
01/06/15,380
01/07/15,380
01/08/15,379
01/09/15,379
01/10/15,380
01/11/15,366
01/12/15,360
01/01/16,344
01/02/16,286
01/03/16,291
01/04/16,295
01/05/16,295
01/06/16,285
01/07/16,281
01/08/16,281
01/09/16,287
01/10/16,285
01/11/16,285
01/12/16,278
01/01/17,270
01/02/17,279
01/03/17,288
01/04/17,285
01/05/17,275
01/06/17,275
01/07/17,276
01/08/17,281
01/09/17,283
01/10/17,284
01/11/17,295
01/12/17,309
01/01/18,320
01/02/18,320
01/03/18,324
01/04/18,325
01/05/18,326
