Month,UREA
01/07/88,133.5
01/08/88,133.5
01/09/88,127.5
01/10/88,122.5
01/11/88,120.5
01/12/88,125
01/01/89,123.5
01/02/89,121
01/03/89,122
01/04/89,110
01/05/89,107.5
01/06/89,85
01/07/89,77.5
01/08/89,75
01/09/89,74
01/10/89,82.5
01/11/89,79
01/12/89,79
01/01/90,87.5
01/02/90,112.5
01/03/90,110
01/04/90,107.5
01/05/90,107.5
01/06/90,107.5
01/07/90,112.5
01/08/90,122.5
01/09/90,135
01/10/90,136.5
01/11/90,144.5
01/12/90,147.5
01/01/91,151
01/02/91,151
01/03/91,145
01/04/91,143.5
01/05/91,138.5
01/06/91,135.5
01/07/91,136.5
01/08/91,135.5
01/09/91,137.5
01/10/91,129
01/11/91,123.5
01/12/91,122.5
01/01/92,120
01/02/92,116
01/03/92,115
01/04/92,119
01/05/92,120.5
01/06/92,121
01/07/92,124.5
01/08/92,119
01/09/92,112
01/10/92,107
01/11/92,101
01/12/92,95.5
01/01/93,90.5
01/02/93,84.5
01/03/93,81.5
01/04/93,83.5
01/05/93,82.5
01/06/93,80
01/07/93,81
01/08/93,78
01/09/93,78
01/10/93,83
01/11/93,93.5
01/12/93,95.5
01/01/94,96.5
01/02/94,97.5
01/03/94,109
01/04/94,111
01/05/94,116.5
01/06/94,115.5
01/07/94,118.5
01/08/94,123
01/09/94,137.5
01/10/94,151
01/11/94,167.5
01/12/94,180
01/01/95,192.5
01/02/95,208.5
01/03/95,200
01/04/95,177.5
01/05/95,152.5
01/06/95,160
01/07/95,168.5
01/08/95,176.5
01/09/95,192
01/10/95,203.5
01/11/95,210
01/12/95,205
01/01/96,190
01/02/96,196
01/03/96,194
01/04/96,160
01/05/96,170
01/06/96,183.5
01/07/96,185
01/08/96,182.5
01/09/96,172
01/10/96,169
01/11/96,177
01/12/96,169
01/01/97,159.5
01/02/97,146.5
01/03/97,137.5
01/04/97,126
01/05/97,116
01/06/97,113.5
01/07/97,106
01/08/97,99
01/09/97,88
01/10/97,90
01/11/97,89.5
01/12/97,96.5
01/01/98,86.5
01/02/98,86.5
01/03/98,96
01/04/98,95.5
01/05/98,89.5
01/06/98,83.5
01/07/98,86
01/08/98,86
01/09/98,82.5
01/10/98,69.5
01/11/98,69.5
01/12/98,66
01/01/99,63
01/02/99,65.63
01/03/99,74.13
01/04/99,64.63
01/05/99,65.88
01/06/99,63.25
01/07/99,63.6
01/08/99,68
01/09/99,66.7
01/10/99,66.25
01/11/99,67.06
01/12/99,68.69
01/01/00,79.75
01/02/00,91.38
01/03/00,84.4
01/04/00,82
01/05/00,93.06
01/06/00,110.05
01/07/00,126
01/08/00,130.8
01/09/00,105.5
01/10/00,111.75
01/11/00,98.2
01/12/00,100.5
01/01/01,119.75
01/02/01,103.38
01/03/01,97
01/04/01,85.25
01/05/01,82.5
01/06/01,85.38
01/07/01,89.06
01/08/01,90.4
01/09/01,91.38
01/10/01,95.88
01/11/01,97.1
01/12/01,106.75
01/01/02,106
01/02/02,95.6
01/03/02,87.5
01/04/02,84.13
01/05/02,88.6
01/06/02,91.75
01/07/02,96.63
01/08/02,100.7
01/09/02,90.13
01/10/02,91.5
01/11/02,99.13
01/12/02,100.67
01/01/03,116.5
01/02/03,132.75
01/03/03,138.38
01/04/03,116.38
01/05/03,128.5
01/06/03,133.88
01/07/03,139.2
01/08/03,146
01/09/03,149.13
01/10/03,150.9
01/11/03,154.5
01/12/03,160.63
01/01/04,153.88
01/02/04,128.25
01/03/04,129.13
01/04/04,130.8
01/05/04,135.67
01/06/04,161.88
01/07/04,199.5
01/08/04,204.75
01/09/04,226.8
01/10/04,243.13
01/11/04,205.63
01/12/04,184
01/01/05,189.5
01/02/05,184.88
01/03/05,219.9
01/04/05,246.25
01/05/05,257.25
01/06/05,221.3
01/07/05,216
01/08/05,209.25
01/09/05,209.9
01/10/05,225.5
01/11/05,232.75
01/12/05,215.75
01/01/06,197.75
01/02/06,215.75
01/03/06,244.1
01/04/06,248.38
01/05/06,227.75
01/06/06,208.2
01/07/06,202.25
01/08/06,213.7
01/09/06,215.25
01/10/06,211.75
01/11/06,235.6
01/12/06,254.67
01/01/07,269.8
01/02/07,304.25
01/03/07,318
01/04/07,288.5
01/05/07,296.25
01/06/07,289
01/07/07,267.88
01/08/07,269
01/09/07,314
01/10/07,333.7
01/11/07,377.13
01/12/07,385.25
01/01/08,369.7
01/02/08,325.25
01/03/08,377.75
01/04/08,471.25
01/05/08,627.5
01/06/08,628.38
01/07/08,760
01/08/08,770
01/09/08,706.25
01/10/08,405.5
01/11/08,245.75
01/12/08,225.38
01/01/09,263.38
01/02/09,273.25
01/03/09,265.38
01/04/09,245.2
01/05/09,240.75
01/06/09,237.38
01/07/09,243.7
01/08/09,247.13
01/09/09,233.89
01/10/09,239
01/11/09,244.75
01/12/09,261.1
01/01/10,275.75
01/02/10,288.63
01/03/10,278.75
01/04/10,252.7
01/05/10,229.63
01/06/10,229.3
01/07/10,249.5
01/08/10,273
01/09/10,315
01/10/10,329.38
01/11/10,366.38
01/12/10,375.1
01/01/11,374.13
01/02/11,358.13
01/03/11,327.8
01/04/11,340.38
01/05/11,397.38
01/06/11,485.9
01/07/11,474.75
01/08/11,477.5
01/09/11,503.8
01/10/11,487.13
01/11/11,470.9
01/12/11,353.75
01/01/12,368.38
01/02/12,382.9
01/03/12,410.63
01/04/12,493.38
01/05/12,496.7
01/06/12,420
01/07/12,384.5
01/08/12,374.9
01/09/12,384.5
01/10/12,396
01/11/12,374.2
01/12/12,378.75
01/01/13,398.17
01/02/13,425.63
01/03/13,398.13
01/04/13,363
01/05/13,343.33
01/06/13,325.13
01/07/13,375.57
01/08/13,375.57
01/09/13,295
01/10/13,299.5
01/11/13,310.88
01/12/13,324.63
01/01/14,348.5
01/02/14,353.75
01/03/14,317.5
01/04/14,299.17
01/05/14,292
01/06/14,295.63
01/07/14,299.6
01/08/14,319.13
01/09/14,336.5
01/10/14,323.63
01/11/14,315.63
01/12/14,312.1
01/01/15,322.5
01/02/15,303.75
01/03/15,271
01/04/15,257.75
01/05/15,279.75
01/06/15,292.2
01/07/15,274.5
01/08/15,271.6
01/09/15,257.13
01/10/15,250.75
01/11/15,256.7
01/12/15,240
01/01/16,208.75
01/02/16,201.38
01/03/16,203.4
01/04/16,203.75
01/05/16,200.1
01/06/16,190.75
01/07/16,181.2
01/08/16,181.7
01/09/16,189.88
01/10/16,189.75
01/11/16,208.3
01/12/16,216.25
01/01/17,243.38
01/02/17,252.25
01/03/17,239
01/04/17,205.63
01/05/17,182.7
01/06/17,187.13
01/07/17,184.13
01/08/17,194.3
01/09/17,234.38
01/10/17,257.5
01/11/17,261.7
01/12/17,214.38
01/01/18,225.63
01/02/18,229.75
01/03/18,235.88
01/04/18,224
01/05/18,217.7
